  0.55  -466   -567  -1538  -1786  -2145  -2546  -2792  -2659  -2089  -1342   -505     69     530
  0.83   154   -380  -1230  -1425  -1869  -2636  -2894  -2332  -1470  -1004   -754   -455      35
  1.1   -172   -374   -978  -1744  -2578  -2815  -2731  -2600  -2291  -1722   -900   -311      35
  1.5    195   -350  -1215  -2164  -2697  -2863  -2977  -2904  -2407  -1660   -816   -294      51
  1.8   -147   -526   -780  -1682  -3113  -3519  -3091  -2478  -1835  -1337   -881   -563    -223
  2.2    -18   -178  -1297  -1971  -3513  -4863  -5080  -4240  -3100  -2375  -1725  -1017    -142
  2.8    271   -188  -1157  -2235  -3696  -4628  -4788  -4201  -3093  -2041  -1053   -460     -83
  3.3    425    -12  -1217  -2740  -4215  -5011  -5053  -4433  -3455  -2652  -1855  -1115    -316
  3.9    413    226  -1013  -2345  -3670  -4437  -4526  -3947  -2969  -2163  -1430   -833    -226
  4.4    476    690   -692  -2221  -3688  -4620  -4949  -4611  -3801  -2914  -1873  -1009    -261
  5.0    348    375  -1192  -2397  -3895  -4971  -5280  -4806  -3866  -2944  -1949  -1176    -539
  5.6    873    246   -714  -2326  -3608  -4310  -4835  -4813  -4019  -2922  -1841  -1226    -727
  6.6   1146    538   -375  -2110  -3833  -4634  -5047  -5031  -4390  -3359  -2117  -1255    -652
  8.8   1522    457    -64  -1445  -3333  -4726  -5330  -5020  -4174  -3326  -2466  -1847   -1329
 10.8    951   1047    -95   -661  -1978  -3718  -5082  -5325  -4794  -3931  -2770  -1805   -1107
 13.2   1645    999    427   -519  -1904  -3251  -4616  -5324  -5200  -4333  -3047  -2137   -1590
 18.0    115   1249    770     -3  -1249  -2332  -3515  -4346  -4577  -4026  -2935  -2042   -1469
 22.0   2163   1522    730    505   -104  -1168  -2761  -4084  -4703  -4135  -2719  -1646   -1251
 27.5   2131   1510   1276    629    -16   -396  -1605  -3368  -4873  -4932  -3839  -2755   -2156
 32.5   2129   1776   1791   1107    459     68  -1085  -2626  -3865  -3961  -3239  -2478   -1948
 37.5    463   1616   2222   1050    119    445   -181  -1981  -3634  -3760  -2952  -2350   -2142
 42.5   3317   1877   2200   1419    578    699    168  -1480  -3445  -4170  -3774  -3041   -2465
 62.5   1684   2545   2576   1289    892   1378    884   -881  -2933  -3610  -3072  -2327   -2031
 72.0   1713   1798   2752   1960    911   1164    952   -484  -2439  -3409  -3442  -2969   -2413
 82.0   2347   1990   1663   1372   1129   1069    893    354   -731  -1851  -2800  -3066   -2783
102.0   1064   1384   1632   1216    776    814    741    187   -740  -1411  -1768  -1821   -1779
122.0    232    508    756    504    383    451    406    117   -404   -880  -1273  -1424   -1368
146.0  -1263   -894    280    280     38    104    -42   -330   -425   -350   -448   -719    -841
